,assembly,n_uniprots,composition,crystal_id
0,1,2,Homo,6sho
0,1,4,Hetero,7lbk
0,1,1,Homo,4a0n
0,1,2,Homo,3ueg
0,1,4,Hetero,7lbo
0,1,4,Hetero,7lbp
0,1,4,Hetero,6yih
0,1,2,Hetero,2rax
1,2,2,Hetero,2rax
2,3,2,Hetero,2rax
0,1,4,Hetero,3uih
0,1,1,Homo,4a0j
1,2,1,Homo,4a0j
0,1,2,Homo,1xox
0,1,2,Hetero,7lbq
0,1,3,Hetero,2qfa
0,1,3,Hetero,6yie
1,2,3,Hetero,6yie
0,1,3,Hetero,6yif
0,1,2,Homo,3ueh
0,1,1,Homo,3uec
0,1,2,Hetero,2raw
0,1,4,Hetero,3uij
0,1,2,Homo,1e31
0,1,2,Homo,1f3h
0,1,2,Homo,3uii
0,1,4,Hetero,4a0i
0,1,2,Homo,3ued
0,1,2,Homo,3uee
0,1,2,Homo,3uik
0,1,2,Homo,3uef
0,1,2,Homo,3uig
0,1,2,Homo,3uei
