preferredName_A	preferredName_B	score
ALDH1A2	CYP26A1	0.991
ALDH1A2	CYP26B1	0.988
ALDH1A2	CYP26C1	0.983
ALDH1A2	RDH10	0.977
ALDH1A2	RDH12	0.964
ALDH1A2	DHRS3	0.956
ALDH1A2	BCO1	0.95
ALDH1A2	RDH11	0.949
ALDH1A2	RDH5	0.944
ALDH1A2	RDH8	0.942
ALDH1A2	SDR16C5	0.942
ALDH1A2	AOX1	0.938
ALDH1A2	RDH16	0.937
ALDH1A2	DHRS4	0.932
ALDH1A2	DHRS9	0.93
ALDH1A2	CYP1A1	0.925
ALDH1A2	CYP3A7	0.923
ALDH1A2	CYP2S1	0.923
ALDH1A2	CYP3A4	0.923
ALDH1A2	CYP3A5	0.922
ALDH1A2	CYP4A22	0.921
ALDH1A2	CYP1A2	0.92
ALDH1A2	CYP4A11	0.919
ALDH1A2	ENSP00000480571	0.918
ALDH1A2	CYP2C8	0.917
ALDH1A2	CYP2B6	0.916
ALDH1A2	ALDH1A1	0.915
ALDH1A2	CYP2C9	0.914
ALDH1A2	CYP2C18	0.914
ALDH1A2	CYP2A6	0.914
ALDH1A2	HSD17B6	0.908
ALDH1A2	ALDH1A3	0.903
