uniprot_id	gene_id
B2RXF5	ZBTB42
Q5T0B9	ZNF362
Q5T4E8	PRDM1
Q9HBE1	PATZ1
Q9HC78	ZBTB20
G3V3W2	ZNF410
H3BTK0	ZNF276
Q14872	MTF1
E9PPB0	ZNF143
Q8WUU4	ZNF296
Q9Y2X9	ZNF281
Q96CK0	ZNF653
C9JMM8	PRDM14
Q14119	VEZF1
G3V3N0	ZBTB1
I3L411	MAZ
G5E9X2	ZNF148
E7EX64	ZNF76
Q14526	HIC1
D6REC5	ZNF451
B3KQ07	ZNF575
A0A0S2Z4J5	ZBTB16
F5H105	ZNF384
Q3KNW1	SNAI3
O43623	SNAI2
M0QZ57	ZBTB45
Q99592	ZBTB18
Q9Y2Y4	ZBTB32
Q96JB3	HIC2
Q9BWW7	SCRT1
Q9NQ03	SCRT2
Q96JP5	ZFP91
A0A1B0GXF8	ZBTB7C
E9PIB4	PRDM10
E9PLQ7	ZNF692
Q9NQX0	PRDM6
