uniprot_id	gene_id
Q02388	COL7A1
A0A669KB28	COL13A1
A0A2R8YG47	COL9A1
P39059	COL15A1
Q8IZC6	COL27A1
A0A2R8Y760	COL25A1
P02458	COL2A1
A0A3B3ITQ8	COL4A2
H7C435	COL3A1
H7BXV5	COL18A1
Q49AM6	COL4A5
D6RA95	EDA
Q07092	COL16A1
F8WDX7	EMID1
P08123	COL1A2
P02452	COL1A1
A0A384P5H7	COL6A1
A0A804HI71	COL4A4
A8MXH5	COL4A6
A6PVD9	COL21A1
P20908	COL5A1
Q14055	COL9A2
C9JMN2	COL11A1
F8WDM8	COL24A1
H7C0M5	COL6A2
Q96A83	COL26A1
P25940	COL5A3
L8EAS4	COL23A1
Q9P218	COL20A1
Q8NFW1	COL22A1
Q9Y215	COLQ
A0A0C4DFS1	COL11A2
A0A0C4DG66	COL28A1
A0A3B3IRH9	COL5A2
H7BXM4	COL4A3
Q14050	COL9A3
P02462	COL4A1
