,assembly,n_uniprots,composition,crystal_id
0,1,1,Homo,1p97
0,1,1,Homo,5kiz
0,1,2,Hetero,5ufp
0,1,2,Hetero,6x21
0,1,2,Hetero,6x28
0,1,2,Hetero,7q5v
0,1,4,Hetero,6i7r
0,1,2,Hetero,3h82
0,1,2,Hetero,7q5x
0,1,2,Hetero,8ck4
0,1,3,Hetero,4pky
1,2,3,Hetero,4pky
2,3,1,Homo,4pky
0,1,4,Hetero,6i7q
0,1,2,Hetero,5tbm
1,2,2,Hetero,5tbm
0,1,2,Hetero,6d0c
0,1,2,Hetero,6x2h
0,1,2,Hetero,6x37
0,1,2,Hetero,3f1p
0,1,2,Hetero,3f1o
0,1,2,Hetero,7ujv
0,1,2,Hetero,6x3d
0,1,2,Hetero,8ck3
0,1,2,Hetero,6d0b
1,2,2,Hetero,6d0b
0,1,4,Hetero,6bvb
0,1,2,Hetero,2a24
0,1,2,Hetero,3h7w
0,1,2,Hetero,6czw
1,2,2,Hetero,6czw
0,1,2,Hetero,8ck8
0,1,2,Hetero,3f1n
0,1,2,Hetero,4gs9
0,1,2,Hetero,6d09
1,2,2,Hetero,6d09
0,1,2,Hetero,4ghi
0,1,2,Hetero,4xt2
1,2,2,Hetero,4xt2
