preferredName_A	preferredName_B	score
ST6GALNAC1	C1GALT1	0.98
ST6GALNAC1	C1GALT1C1	0.973
ST6GALNAC1	GCNT1	0.965
ST6GALNAC1	B3GNT6	0.959
ST6GALNAC1	GALNT6	0.95
ST6GALNAC1	EEF1A2	0.944
ST6GALNAC1	GALNT4	0.942
ST6GALNAC1	GALNT5	0.942
ST6GALNAC1	GALNT2	0.939
ST6GALNAC1	GALNT1	0.938
ST6GALNAC1	GALNT3	0.935
ST6GALNAC1	ST3GAL1	0.934
ST6GALNAC1	GALNT9	0.931
ST6GALNAC1	GALNT12	0.931
ST6GALNAC1	GALNT11	0.928
ST6GALNAC1	GALNT8	0.928
ST6GALNAC1	GALNT18	0.925
ST6GALNAC1	ST3GAL2	0.923
ST6GALNAC1	C1GALT1C1L	0.923
ST6GALNAC1	GALNT15	0.923
ST6GALNAC1	GALNT16	0.92
ST6GALNAC1	GALNT7	0.92
ST6GALNAC1	GALNT10	0.917
ST6GALNAC1	GALNT17	0.916
ST6GALNAC1	GALNTL5	0.913
ST6GALNAC1	GALNTL6	0.91
