Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
PSB5_HUMAN,0.826,1.0,0.529,1.0,0.529,0.982,0.001333,11,34,45
SERPH_HUMAN,0.807,0.818,0.765,1.0,0.324,1.523,0.002495,11,34,45
BASI_HUMAN,0.791,0.727,0.735,1.0,0.441,0.951,0.004163,11,34,45
DRB5_HUMAN,0.789,0.727,0.853,1.0,0.206,-1.181,0.004524,11,34,45
ADA2_HUMAN,0.786,0.909,0.706,1.0,0.029,-0.541,0.004913,11,34,45
APOA_HUMAN,0.781,0.818,0.735,1.0,0.206,1.738,0.005782,11,34,45
LG3BP_HUMAN,0.778,0.818,0.735,1.0,0.441,-1.116,0.006267,11,34,45
NEO1_HUMAN,0.775,0.727,0.794,1.0,0.382,-0.599,0.006788,11,34,45
P4HA1_HUMAN,0.77,0.545,0.912,1.0,0.294,1.406,0.007948,11,34,45
CSPG4_HUMAN,0.77,0.909,0.676,1.0,0.353,0.873,0.007948,11,34,45
LICH_HUMAN,0.767,1.0,0.5,1.0,0.5,-0.801,0.008593,11,34,45
TPP1_HUMAN,0.765,0.818,0.618,1.0,0.324,-0.862,0.009284,11,34,45
BACH_HUMAN,0.759,1.0,0.471,1.0,0.471,1.037,0.010815,11,34,45
MOT4_HUMAN,0.759,0.818,0.706,1.0,0.324,0.918,0.010815,11,34,45
T132A_HUMAN,0.757,0.727,0.676,1.0,0.382,-1.513,0.011662,11,34,45
ENPL_HUMAN,0.754,0.636,0.794,1.0,0.265,0.679,0.012568,11,34,45
RIR2_HUMAN,0.754,0.818,0.647,1.0,0.294,0.931,0.012568,11,34,45
DIAC_HUMAN,0.754,1.0,0.441,1.0,0.441,-0.612,0.012568,11,34,45
PTPRG_HUMAN,0.751,0.818,0.647,1.0,0.412,-0.697,0.013535,11,34,45
PSB7_HUMAN,0.749,0.727,0.735,1.0,0.324,0.548,0.014567,11,34,45
ZW10_HUMAN,0.746,0.818,0.676,1.0,0.353,0.464,0.015668,11,34,45
ASML_HUMAN,0.746,0.818,0.765,1.0,0.059,0.679,0.015668,11,34,45
CO3A1_HUMAN,0.746,0.727,0.765,1.0,0.324,1.127,0.015668,11,34,45
CALR_HUMAN,0.746,0.909,0.5,1.0,0.324,0.719,0.015668,11,34,45
PSB6_HUMAN,0.746,0.545,0.912,1.0,0.324,0.615,0.015668,11,34,45
FERM2_HUMAN,0.746,0.818,0.706,1.0,0.088,0.774,0.015668,11,34,45
DRA_HUMAN,0.743,0.545,0.941,1.0,0.294,-1.242,0.016842,11,34,45
AMY2B_HUMAN,0.743,0.818,0.559,1.0,0.294,-1.895,0.016842,11,34,45
AMD_HUMAN,0.743,0.727,0.706,1.0,0.206,-1.291,0.016842,11,34,45
ITA2_HUMAN,0.741,0.727,0.706,1.0,0.029,0.611,0.018092,11,34,45
PDIA6_HUMAN,0.741,0.818,0.588,1.0,0.235,0.684,0.018092,11,34,45
BIP_HUMAN,0.738,0.909,0.529,1.0,0.265,0.505,0.019422,11,34,45
FLNC_HUMAN,0.738,0.818,0.618,1.0,0.147,1.321,0.019422,11,34,45
UBA7_HUMAN,0.735,0.727,0.794,1.0,0.059,-0.817,0.020838,11,34,45
SPTB2_HUMAN,0.735,0.636,0.794,1.0,0.382,0.598,0.020838,11,34,45
FGGY_HUMAN,0.735,0.727,0.794,1.0,0.088,-0.564,0.020838,11,34,45
PLOD2_HUMAN,0.733,0.909,0.529,1.0,0.206,1.171,0.022342,11,34,45
GANAB_HUMAN,0.733,0.636,0.735,1.0,0.206,0.698,0.022342,11,34,45
FKBP9_HUMAN,0.73,0.818,0.676,1.0,0.294,0.68,0.023935,11,34,45
SAP3_HUMAN,0.73,1.0,0.441,1.0,0.441,-0.711,0.02394,11,34,45
CD276_HUMAN,0.73,1.0,0.559,1.0,0.559,0.499,0.02394,11,34,45
FCG3A_HUMAN,0.727,0.636,0.824,1.0,0.353,-0.592,0.025636,11,34,45
LTBP1_HUMAN,0.727,0.545,0.882,1.0,0.412,-0.795,0.025636,11,34,45
LEG9_HUMAN,0.725,0.909,0.588,1.0,0.206,-1.342,0.027435,11,34,45
MATN2_HUMAN,0.725,0.545,0.882,1.0,0.294,-1.289,0.027435,11,34,45
IPO9_HUMAN,0.725,0.818,0.676,1.0,0.324,0.671,0.027435,11,34,45
CSPG2_HUMAN,0.722,0.636,0.824,1.0,0.088,0.888,0.029342,11,34,45
ACYP2_HUMAN,0.722,0.818,0.559,1.0,0.235,-0.84,0.029342,11,34,45
IL6RB_HUMAN,0.722,1.0,0.441,1.0,0.441,-0.839,0.029342,11,34,45
B2MG_HUMAN,0.722,0.455,0.971,1.0,0.235,-0.669,0.029342,11,34,45
CATD_HUMAN,0.719,0.818,0.588,1.0,0.118,-0.722,0.031362,11,34,45
NEUL_HUMAN,0.719,0.818,0.676,1.0,0.206,0.599,0.031362,11,34,45
PSB9_HUMAN,0.717,0.636,0.882,1.0,0.235,-1.023,0.0335,11,34,45
TPPP3_HUMAN,0.717,0.636,0.853,1.0,0.176,-1.661,0.0335,11,34,45
JUPI1_HUMAN,0.717,0.818,0.618,1.0,0.147,0.94,0.0335,11,34,45
ADSSP_HUMAN,0.714,0.727,0.735,1.0,0.235,0.542,0.035761,11,34,45
OPA1_HUMAN,0.711,0.818,0.588,1.0,0.176,0.553,0.038152,11,34,45
BLMH_HUMAN,0.711,0.909,0.676,1.0,0.059,0.437,0.038152,11,34,45
PRDX4_HUMAN,0.711,0.364,1.0,1.0,0.235,0.883,0.038152,11,34,45
MRC2_HUMAN,0.711,0.818,0.647,1.0,0.088,0.673,0.038152,11,34,45
CH60_HUMAN,0.709,0.818,0.559,1.0,0.147,0.761,0.040677,11,34,45
DRB1_HUMAN,0.709,0.636,0.794,1.0,0.206,-1.208,0.040677,11,34,45
GLU2B_HUMAN,0.709,0.909,0.471,1.0,0.324,0.56,0.040677,11,34,45
CUL2_HUMAN,0.709,0.727,0.853,1.0,0.147,0.594,0.040677,11,34,45
GEMI5_HUMAN,0.709,0.818,0.676,1.0,0.118,0.699,0.040677,11,34,45
ACL6A_HUMAN,0.706,0.818,0.647,1.0,0.059,0.379,0.043342,11,34,45
CDK1_HUMAN,0.706,0.909,0.559,1.0,0.088,0.75,0.043342,11,34,45
H2AV_HUMAN;H2AZ_HUMAN,0.706,1.0,0.353,1.0,0.353,0.933,0.043342,11,34,45
HLAC_HUMAN,0.706,0.545,0.853,1.0,0.235,-0.724,0.043342,11,34,45
VATB2_HUMAN,0.706,0.545,0.912,1.0,0.118,0.46,0.043342,11,34,45
PSB8_HUMAN,0.706,0.455,0.971,1.0,0.206,-0.793,0.043342,11,34,45
OAS2_HUMAN,0.706,0.727,0.647,1.0,0.176,-1.054,0.043342,11,34,45
ECHM_HUMAN,0.706,0.818,0.647,1.0,0.088,0.634,0.043342,11,34,45
EIF3B_HUMAN,0.706,0.727,0.765,1.0,0.147,0.535,0.043342,11,34,45
RCN2_HUMAN,0.706,0.909,0.559,1.0,0.0,0.585,0.043342,11,34,45
PLPP_HUMAN,0.706,0.636,0.765,1.0,0.206,0.729,0.043342,11,34,45
ASC_HUMAN,0.706,0.636,0.794,1.0,0.176,-0.713,0.043342,11,34,45
PDIA4_HUMAN,0.703,0.909,0.529,1.0,0.353,0.599,0.046153,11,34,45
PUR6_HUMAN,0.703,0.818,0.529,1.0,0.294,0.672,0.046153,11,34,45
IPO7_HUMAN,0.703,0.727,0.824,1.0,0.029,0.448,0.046153,11,34,45
H2A2A_HUMAN;H2A2C_HUMAN,0.703,1.0,0.441,1.0,0.441,1.237,0.046153,11,34,45
UGGG1_HUMAN,0.703,0.909,0.618,1.0,0.088,0.387,0.046153,11,34,45
NXF1_HUMAN,0.703,0.636,0.824,1.0,0.059,0.426,0.046153,11,34,45
DNS2A_HUMAN,0.701,0.818,0.647,1.0,0.059,-0.758,0.049116,11,34,45
PODXL_HUMAN,0.701,0.364,1.0,1.0,0.206,-1.753,0.049116,11,34,45
LDHB_HUMAN,0.701,0.818,0.618,1.0,0.118,0.546,0.049116,11,34,45
RET1_HUMAN,0.701,0.727,0.676,1.0,0.147,-1.213,0.049116,11,34,45
ACE_HUMAN,0.701,0.818,0.618,1.0,0.176,-1.077,0.049116,11,34,45
FLNA_HUMAN,0.701,0.909,0.559,1.0,0.147,0.481,0.049116,11,34,45
DUT_HUMAN,0.701,0.909,0.559,1.0,0.147,0.905,0.049116,11,34,45
AR6P1_HUMAN,0.701,0.727,0.706,1.0,0.059,0.49,0.049116,11,34,45
CADM4_HUMAN,0.701,0.727,0.647,1.0,0.294,-0.618,0.049116,11,34,45
OXLA_HUMAN,0.701,0.636,0.735,1.0,0.176,-0.831,0.049116,11,34,45
VATD_HUMAN,0.701,0.818,0.588,1.0,0.118,0.44,0.049116,11,34,45
LDHA_HUMAN,0.698,0.636,0.765,1.0,0.147,0.46,0.052238,11,34,45
PDIA1_HUMAN,0.698,1.0,0.324,1.0,0.324,0.53,0.052238,11,34,45
MYH10_HUMAN,0.698,0.636,0.706,1.0,0.265,1.137,0.052238,11,34,45
RPB7_HUMAN,0.698,0.818,0.676,1.0,0.294,0.488,0.052238,11,34,45
SIAE_HUMAN,0.698,0.727,0.735,1.0,0.147,-0.929,0.052238,11,34,45
MACF1_HUMAN,0.698,0.636,0.794,1.0,0.088,0.529,0.052238,11,34,45
U3IP2_HUMAN,0.695,0.727,0.676,1.0,0.176,0.587,0.055523,11,34,45
4F2_HUMAN,0.695,0.909,0.529,1.0,0.0,0.468,0.055523,11,34,45
PUR1_HUMAN,0.695,0.818,0.588,1.0,0.294,0.682,0.055523,11,34,45
MIC60_HUMAN,0.695,0.727,0.794,1.0,0.118,0.608,0.055523,11,34,45
P3H1_HUMAN,0.695,0.364,0.971,1.0,0.206,0.712,0.055523,11,34,45
DOCK5_HUMAN,0.695,0.727,0.647,1.0,0.088,-0.708,0.055523,11,34,45
HNRPQ_HUMAN,0.693,0.818,0.676,1.0,0.118,0.392,0.058979,11,34,45
AP2A2_HUMAN,0.693,0.636,0.794,1.0,0.029,0.423,0.058979,11,34,45
PARP1_HUMAN,0.693,0.818,0.706,1.0,0.029,0.52,0.058979,11,34,45
IGA2_HUMAN,0.693,0.727,0.676,1.0,0.235,-0.447,0.058979,11,34,45
CD59_HUMAN,0.693,0.455,0.971,1.0,0.235,-0.85,0.058979,11,34,45
GARS_HUMAN,0.693,0.727,0.676,1.0,0.206,0.58,0.058979,11,34,45
RASF2_HUMAN,0.693,0.727,0.735,1.0,0.059,-0.625,0.058979,11,34,45
