Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
T132A_HUMAN,0.916,0.829,0.909,0.951,0.727,2.212,2.8e-05,41,11,52
FAM3C_HUMAN,0.891,0.659,1.0,0.976,0.636,1.305,8e-05,41,11,52
CD44_HUMAN,0.885,0.78,0.909,0.976,0.545,1.365,0.000106,41,11,52
CTL1_HUMAN,0.885,0.78,1.0,1.0,0.091,1.274,0.000106,41,11,52
GPC4_HUMAN,0.854,0.854,0.727,0.951,0.545,1.813,0.000367,41,11,52
PODXL_HUMAN,0.845,0.585,1.0,0.951,0.545,2.327,0.000515,41,11,52
TPPP3_HUMAN,0.845,0.878,0.727,0.951,0.455,2.547,0.000515,41,11,52
MATN2_HUMAN,0.843,0.707,0.909,0.976,0.364,1.822,0.000559,41,11,52
CATH_HUMAN,0.84,0.634,0.909,0.951,0.455,1.633,0.000608,41,11,52
CAYP1_HUMAN,0.838,0.732,0.909,0.951,0.364,2.505,0.00066,41,11,52
FPRP_HUMAN,0.838,0.756,0.818,0.951,0.364,1.165,0.00066,41,11,52
CANT1_HUMAN,0.831,0.707,0.818,0.951,0.455,1.368,0.000842,41,11,52
GMDS_HUMAN,0.829,0.902,0.818,0.951,0.455,1.191,0.000913,41,11,52
B4GT1_HUMAN,0.827,0.707,0.909,1.0,0.182,1.958,0.000989,41,11,52
GALT7_HUMAN,0.827,0.585,1.0,0.951,0.273,1.347,0.000989,41,11,52
ANXA1_HUMAN,0.825,0.951,0.636,0.951,0.636,1.648,0.001071,41,11,52
2ABA_HUMAN,0.825,0.805,0.818,0.976,0.455,1.042,0.001071,41,11,52
ASGL1_HUMAN,0.825,0.805,0.818,0.951,0.364,2.045,0.001071,41,11,52
PPBT_HUMAN,0.816,0.902,0.636,0.951,0.364,2.392,0.001464,41,11,52
SERC_HUMAN,0.816,0.854,0.818,0.951,0.455,-1.17,0.001464,41,11,52
PDLI1_HUMAN,0.814,0.659,1.0,0.951,0.273,1.414,0.001582,41,11,52
KSYK_HUMAN,0.814,0.78,0.818,0.951,0.455,1.013,0.001582,41,11,52
DHYS_HUMAN,0.814,0.488,1.0,0.951,0.364,-1.149,0.001582,41,11,52
RGS3_HUMAN,0.812,0.829,0.818,0.951,0.273,0.761,0.001708,41,11,52
CADM1_HUMAN,0.812,0.927,0.727,1.0,0.364,1.598,0.001708,41,11,52
SPIT1_HUMAN,0.807,0.878,0.636,0.951,0.455,1.63,0.001988,41,11,52
CAD11_HUMAN,0.807,0.878,0.636,0.951,0.364,0.97,0.001988,41,11,52
PLCB1_HUMAN,0.807,0.805,0.727,0.951,0.364,1.433,0.001988,41,11,52
DMBT1_HUMAN,0.807,0.854,0.727,0.951,0.273,3.091,0.001988,41,11,52
GBG12_HUMAN,0.803,0.634,0.909,1.0,0.273,0.999,0.00231,41,11,52
UCHL1_HUMAN,0.8,0.78,0.909,0.951,0.091,-2.853,0.002488,41,11,52
CD82_HUMAN,0.8,0.707,0.818,0.951,0.545,1.532,0.002488,41,11,52
MYO1E_HUMAN,0.8,0.805,0.727,0.976,0.455,0.873,0.002488,41,11,52
PLPP_HUMAN,0.8,0.463,1.0,0.951,0.364,-0.873,0.002488,41,11,52
FGGY_HUMAN,0.8,0.585,1.0,0.951,0.182,0.742,0.002488,41,11,52
LEG9_HUMAN,0.796,0.878,0.727,0.976,0.182,1.498,0.002882,41,11,52
SEM4D_HUMAN,0.796,0.805,0.818,0.951,0.364,0.882,0.002882,41,11,52
INO1_HUMAN,0.794,0.732,0.909,1.0,0.182,-1.173,0.003101,41,11,52
PCDGK_HUMAN,0.794,0.854,0.727,0.951,0.182,0.961,0.003101,41,11,52
JAM1_HUMAN,0.794,0.683,0.818,0.951,0.455,1.223,0.003101,41,11,52
THIO_HUMAN,0.792,0.829,0.818,0.951,0.273,0.573,0.003333,41,11,52
PALLD_HUMAN,0.789,0.61,0.909,0.951,0.364,1.233,0.003582,41,11,52
P4HA1_HUMAN,0.787,0.927,0.545,0.951,0.455,-1.461,0.003848,41,11,52
PCAT2_HUMAN,0.787,0.707,0.909,0.951,0.182,0.907,0.003848,41,11,52
RHG18_HUMAN,0.787,0.585,0.909,0.951,0.364,0.86,0.003848,41,11,52
OSTF1_HUMAN,0.787,1.0,0.545,1.0,0.545,0.906,0.003848,41,11,52
ADSSP_HUMAN,0.787,0.683,0.818,0.976,0.364,-0.771,0.003848,41,11,52
TENA_HUMAN,0.785,0.756,0.727,1.0,0.273,1.347,0.004131,41,11,52
MUC5B_HUMAN,0.783,0.78,0.727,0.976,0.455,2.297,0.004433,41,11,52
PLXB1_HUMAN,0.78,0.707,0.818,0.976,0.273,0.493,0.004755,41,11,52
AMPD2_HUMAN,0.78,0.902,0.727,0.976,0.455,-0.9,0.004755,41,11,52
CD166_HUMAN,0.78,0.683,0.818,0.951,0.545,1.142,0.004755,41,11,52
MMP7_HUMAN,0.778,0.707,0.818,1.0,0.273,2.074,0.005098,41,11,52
TNR6_HUMAN,0.778,0.561,1.0,0.976,0.182,0.867,0.005098,41,11,52
PCP_HUMAN,0.778,0.756,0.727,0.951,0.273,-1.082,0.005098,41,11,52
CNBP1_HUMAN,0.778,0.854,0.636,0.976,0.273,1.059,0.005098,41,11,52
CADH1_HUMAN,0.776,0.683,0.818,0.976,0.455,1.442,0.005464,41,11,52
SERPH_HUMAN,0.776,0.61,0.909,0.951,0.455,-1.384,0.005464,41,11,52
CD59_HUMAN,0.774,0.927,0.636,0.976,0.455,1.266,0.005852,41,11,52
PLD3_HUMAN,0.774,0.829,0.727,0.951,0.273,-1.023,0.005852,41,11,52
S10AG_HUMAN,0.774,0.61,0.909,0.951,0.273,1.093,0.005852,41,11,52
TRIM2_HUMAN,0.774,0.854,0.636,0.951,0.273,1.075,0.005852,41,11,52
SYWC_HUMAN,0.769,0.829,0.727,0.951,0.182,-1.083,0.006706,41,11,52
MMP14_HUMAN,0.769,0.756,0.818,1.0,0.091,0.706,0.006706,41,11,52
NED4L_HUMAN,0.769,0.805,0.818,0.951,0.182,0.518,0.006706,41,11,52
SNX18_HUMAN,0.767,0.585,1.0,0.951,0.182,0.685,0.007173,41,11,52
PKHA5_HUMAN,0.767,0.878,0.636,0.976,0.273,1.028,0.007173,41,11,52
GOLM1_HUMAN,0.766,0.634,0.909,0.976,0.182,1.42,0.007416,41,11,52
GAL3A_HUMAN,0.765,0.829,0.727,0.951,0.273,-0.775,0.007669,41,11,52
HLAC_HUMAN,0.765,0.78,0.818,0.951,0.273,0.782,0.007669,41,11,52
GSTM2_HUMAN,0.765,0.78,0.727,0.951,0.273,-1.127,0.007669,41,11,52
CPNE2_HUMAN,0.765,0.707,0.818,0.951,0.182,0.653,0.007669,41,11,52
ANXA2_HUMAN,0.763,0.537,0.909,0.951,0.273,0.928,0.008195,41,11,52
SDC1_HUMAN,0.763,0.756,0.727,0.951,0.364,1.253,0.008195,41,11,52
RRAGC_HUMAN,0.763,0.829,0.727,1.0,0.182,-0.65,0.008195,41,11,52
EPHB4_HUMAN,0.761,0.732,0.727,0.976,0.273,0.783,0.008754,41,11,52
FLNC_HUMAN,0.761,0.951,0.455,0.951,0.455,-1.492,0.008754,41,11,52
DOK3_HUMAN,0.761,0.805,0.818,0.976,0.364,0.818,0.008754,41,11,52
LFA3_HUMAN,0.758,0.61,1.0,0.951,0.182,0.753,0.009347,41,11,52
GFRP_HUMAN,0.758,0.854,0.727,0.951,0.364,1.235,0.009347,41,11,52
PPIC_HUMAN,0.758,0.61,0.909,0.951,0.273,0.885,0.009347,41,11,52
DAB2_HUMAN,0.758,0.707,0.727,0.951,0.364,0.883,0.009347,41,11,52
ASM3B_HUMAN,0.758,0.927,0.545,0.951,0.455,1.463,0.009347,41,11,52
SNP23_HUMAN,0.756,0.537,0.909,0.951,0.182,0.719,0.009975,41,11,52
ANXA3_HUMAN,0.756,0.902,0.545,1.0,0.273,1.55,0.009975,41,11,52
DRA_HUMAN,0.754,0.61,0.909,1.0,0.273,1.037,0.010641,41,11,52
LDHB_HUMAN,0.754,0.902,0.636,0.951,0.364,-0.626,0.010641,41,11,52
AT2B4_HUMAN,0.754,0.537,0.909,0.976,0.273,0.854,0.010641,41,11,52
UBP14_HUMAN,0.754,0.902,0.545,0.976,0.273,-0.634,0.010641,41,11,52
NHRF2_HUMAN,0.754,0.537,0.909,0.976,0.364,1.246,0.010641,41,11,52
HTRA1_HUMAN,0.754,0.683,0.818,1.0,0.182,1.036,0.010634,41,11,52
COCA1_HUMAN,0.754,0.585,0.909,1.0,0.182,0.981,0.010641,41,11,52
PARVG_HUMAN,0.754,0.829,0.727,1.0,0.455,0.992,0.010641,41,11,52
SWP70_HUMAN,0.754,0.683,0.909,1.0,0.091,0.539,0.010641,41,11,52
NPTN_HUMAN,0.754,0.585,0.909,0.951,0.273,0.654,0.010641,41,11,52
ADA10_HUMAN,0.752,0.732,0.727,1.0,0.273,0.728,0.011345,41,11,52
SYUG_HUMAN,0.752,0.854,0.636,0.951,0.455,-1.678,0.011345,41,11,52
GYS1_HUMAN,0.752,0.634,0.909,0.951,0.273,-0.705,0.011345,41,11,52
