Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
FAM3C_HUMAN,0.887,1.0,0.658,1.0,0.658,-1.256,2.2e-05,14,38,52
CD44_HUMAN,0.868,0.786,0.895,1.0,0.395,-1.241,5.5e-05,14,38,52
T132A_HUMAN,0.868,0.857,0.789,1.0,0.5,-1.954,5.5e-05,14,38,52
PODXL_HUMAN,0.859,1.0,0.632,1.0,0.632,-2.424,8.5e-05,14,38,52
B4GT1_HUMAN,0.859,0.929,0.737,1.0,0.605,-2.056,8.5e-05,14,38,52
TPPP3_HUMAN,0.855,1.0,0.605,1.0,0.605,-2.628,0.000101,14,38,52
CAYP1_HUMAN,0.846,0.929,0.763,1.0,0.395,-2.304,0.000153,14,38,52
GOLM1_HUMAN,0.834,0.929,0.684,1.0,0.5,-1.694,0.000261,14,38,52
GALT7_HUMAN,0.831,0.786,0.789,1.0,0.5,-1.35,0.000294,14,38,52
ASGL1_HUMAN,0.814,0.929,0.737,1.0,0.132,-1.784,0.000593,14,38,52
CD82_HUMAN,0.812,0.786,0.737,1.0,0.368,-1.486,0.00064,14,38,52
PPIC_HUMAN,0.812,0.929,0.658,1.0,0.158,-0.986,0.00064,14,38,52
CANT1_HUMAN,0.812,0.643,0.868,1.0,0.474,-1.304,0.00064,14,38,52
SPIT1_HUMAN,0.81,0.786,0.737,1.0,0.474,-1.436,0.00069,14,38,52
PPBT_HUMAN,0.81,0.929,0.605,1.0,0.316,-2.218,0.00069,14,38,52
TENA_HUMAN,0.808,1.0,0.5,1.0,0.5,-1.401,0.000744,14,38,52
TRIM2_HUMAN,0.808,0.714,0.816,1.0,0.316,-1.174,0.000744,14,38,52
PLCB1_HUMAN,0.808,0.714,0.842,1.0,0.342,-1.381,0.000744,14,38,52
THIO_HUMAN,0.805,0.786,0.842,1.0,0.316,-0.603,0.000863,14,38,52
MOG1_HUMAN,0.803,0.786,0.789,1.0,0.158,-1.059,0.000929,14,38,52
CATH_HUMAN,0.801,1.0,0.579,1.0,0.579,-1.327,0.001,14,38,52
CADM4_HUMAN,0.801,0.571,0.947,1.0,0.342,-1.014,0.001,14,38,52
PLXB1_HUMAN,0.797,0.786,0.763,1.0,0.316,-0.492,0.001157,14,38,52
MMP7_HUMAN,0.795,0.714,0.789,1.0,0.342,-2.137,0.001244,14,38,52
RMD3_HUMAN,0.795,0.786,0.763,1.0,0.316,-0.806,0.001244,14,38,52
NDRG1_HUMAN,0.793,0.786,0.789,1.0,0.237,1.128,0.001337,14,38,52
TMF1_HUMAN,0.791,0.714,0.789,1.0,0.368,-0.598,0.001436,14,38,52
COMP_HUMAN,0.789,0.857,0.711,1.0,0.263,1.026,0.001542,14,38,52
CADM1_HUMAN,0.788,0.786,0.684,1.0,0.421,-1.357,0.001655,14,38,52
CD5L_HUMAN,0.787,0.714,0.789,1.0,0.184,0.947,0.001714,14,38,52
PGRP2_HUMAN,0.786,0.857,0.711,1.0,0.316,0.531,0.001775,14,38,52
SNP23_HUMAN,0.784,0.929,0.579,1.0,0.474,-0.84,0.001904,14,38,52
XRP2_HUMAN,0.784,0.786,0.789,1.0,0.447,-0.747,0.001904,14,38,52
IGHG4_HUMAN,0.784,0.571,0.921,1.0,0.237,0.536,0.001904,14,38,52
CD59_HUMAN,0.782,0.571,0.947,1.0,0.105,-1.218,0.002041,14,38,52
RHG18_HUMAN,0.782,0.929,0.632,1.0,0.289,-0.838,0.002041,14,38,52
GBG12_HUMAN,0.782,0.857,0.658,1.0,0.5,-0.901,0.002041,14,38,52
IGG1_HUMAN,0.78,0.857,0.658,1.0,0.026,0.58,0.002187,14,38,52
CMGA_HUMAN,0.78,0.714,0.816,1.0,0.5,-2.652,0.002187,14,38,52
STX3_HUMAN,0.78,0.857,0.711,1.0,0.079,-0.979,0.002187,14,38,52
HV335_HUMAN,0.778,0.929,0.605,1.0,0.5,0.683,0.002343,14,38,52
CADH1_HUMAN,0.778,0.857,0.737,1.0,0.184,-1.246,0.002343,14,38,52
VMA5A_HUMAN,0.774,0.929,0.579,1.0,0.053,-1.06,0.002685,14,38,52
TM1L2_HUMAN,0.774,0.929,0.605,1.0,0.0,-0.627,0.002685,14,38,52
IGHM_HUMAN,0.773,0.643,0.868,1.0,0.263,0.873,0.002873,14,38,52
LEG9_HUMAN,0.771,0.643,0.842,1.0,0.184,-1.453,0.003073,14,38,52
GMDS_HUMAN,0.771,0.714,0.895,1.0,0.105,-0.97,0.003073,14,38,52
LFA3_HUMAN,0.771,1.0,0.658,1.0,0.658,-0.782,0.003073,14,38,52
GPC4_HUMAN,0.769,0.571,0.842,1.0,0.368,-1.475,0.003285,14,38,52
SNAA_HUMAN,0.767,0.714,0.763,1.0,0.289,0.553,0.00351,14,38,52
MATN2_HUMAN,0.765,0.643,0.868,1.0,0.263,-1.423,0.00375,14,38,52
DRA_HUMAN,0.765,0.857,0.632,1.0,0.053,-1.087,0.00375,14,38,52
PROP_HUMAN,0.765,0.929,0.711,1.0,0.316,0.492,0.00375,14,38,52
PKHA5_HUMAN,0.763,0.571,0.895,1.0,0.263,-0.976,0.004004,14,38,52
LV319_HUMAN,0.761,0.929,0.526,1.0,0.132,0.639,0.004273,14,38,52
ADAM9_HUMAN,0.761,0.643,0.868,1.0,0.342,-1.083,0.004273,14,38,52
GFRP_HUMAN,0.759,0.643,0.868,1.0,0.079,-1.197,0.00456,14,38,52
ASM3B_HUMAN,0.758,0.857,0.605,1.0,0.342,-1.403,0.004863,14,38,52
C4BPB_HUMAN,0.756,0.786,0.632,1.0,0.263,1.133,0.005184,14,38,52
PYR1_HUMAN,0.756,0.857,0.579,1.0,0.158,0.879,0.005184,14,38,52
OSTF1_HUMAN,0.756,0.714,0.763,1.0,0.237,-0.757,0.005184,14,38,52
MUC5B_HUMAN,0.756,0.643,0.789,1.0,0.105,-2.097,0.005184,14,38,52
CO1A2_HUMAN,0.754,1.0,0.5,1.0,0.5,-1.159,0.005525,14,38,52
SEM4D_HUMAN,0.754,0.857,0.684,1.0,0.079,-0.799,0.005525,14,38,52
FGGY_HUMAN,0.754,1.0,0.447,1.0,0.447,-0.654,0.005525,14,38,52
STX18_HUMAN,0.754,0.929,0.579,1.0,0.395,-0.847,0.005525,14,38,52
PECA1_HUMAN,0.752,0.929,0.553,1.0,0.395,-0.498,0.005886,14,38,52
PSB8_HUMAN,0.752,0.857,0.632,1.0,0.053,-0.816,0.005886,14,38,52
TNR6_HUMAN,0.752,0.929,0.579,1.0,0.289,-0.792,0.005886,14,38,52
IL18_HUMAN,0.752,0.714,0.816,1.0,0.0,-0.749,0.005886,14,38,52
IGLC3_HUMAN,0.75,0.786,0.763,1.0,0.079,0.477,0.006267,14,38,52
NHRF2_HUMAN,0.75,0.929,0.526,1.0,0.342,-1.145,0.006267,14,38,52
PARVG_HUMAN,0.75,0.714,0.789,1.0,0.0,-0.935,0.006267,14,38,52
STC2_HUMAN,0.748,0.857,0.605,1.0,0.184,-1.129,0.006671,14,38,52
UCHL1_HUMAN,0.748,0.857,0.737,1.0,0.0,2.292,0.006671,14,38,52
AMD_HUMAN,0.748,0.714,0.737,1.0,0.158,-1.257,0.006671,14,38,52
S10AG_HUMAN,0.748,0.857,0.632,1.0,0.368,-0.942,0.006671,14,38,52
SIAE_HUMAN,0.748,0.643,0.816,1.0,0.263,-1.039,0.006671,14,38,52
ADA10_HUMAN,0.746,0.857,0.632,1.0,0.158,-0.668,0.007098,14,38,52
CYTC_HUMAN,0.746,1.0,0.421,1.0,0.421,-1.002,0.007098,14,38,52
PIGR_HUMAN,0.746,0.857,0.605,1.0,0.395,-1.785,0.007098,14,38,52
PBLD_HUMAN,0.746,0.786,0.684,1.0,0.316,-1.069,0.007098,14,38,52
DAB2_HUMAN,0.746,0.571,0.842,1.0,0.395,-0.876,0.007098,14,38,52
APOBR_HUMAN,0.746,0.857,0.658,1.0,0.0,-0.706,0.007098,14,38,52
SEM4B_HUMAN,0.746,0.786,0.684,1.0,0.079,-1.034,0.007098,14,38,52
DRB1_HUMAN,0.744,0.714,0.737,1.0,0.053,-1.236,0.00755,14,38,52
ANXA1_HUMAN,0.744,0.929,0.553,1.0,0.263,-1.207,0.00755,14,38,52
RGS3_HUMAN,0.744,0.714,0.816,1.0,0.026,-0.604,0.00755,14,38,52
EPHB4_HUMAN,0.744,1.0,0.395,1.0,0.395,-0.725,0.00755,14,38,52
S12A2_HUMAN,0.744,0.786,0.737,1.0,0.447,-0.978,0.00755,14,38,52
MSRA_HUMAN,0.744,0.857,0.658,1.0,0.026,-0.588,0.00755,14,38,52
P4HA1_HUMAN,0.742,0.929,0.526,1.0,0.447,1.023,0.008027,14,38,52
MYDGF_HUMAN,0.742,0.786,0.658,1.0,0.263,-0.632,0.008027,14,38,52
B3AT_HUMAN,0.741,0.929,0.553,1.0,0.368,1.222,0.008531,14,38,52
NRCAM_HUMAN,0.741,1.0,0.579,1.0,0.579,-1.532,0.008531,14,38,52
VP37B_HUMAN,0.741,1.0,0.605,1.0,0.605,-0.643,0.008531,14,38,52
SKAP2_HUMAN,0.739,0.857,0.632,1.0,0.079,-0.827,0.009063,14,38,52
GRAN_HUMAN,0.739,0.786,0.632,1.0,0.053,-0.789,0.009063,14,38,52
CD109_HUMAN,0.739,0.857,0.579,1.0,0.342,-1.381,0.009063,14,38,52
DDAH1_HUMAN,0.737,0.714,0.737,1.0,0.184,-0.899,0.009624,14,38,52
C1QA_HUMAN,0.737,0.929,0.605,1.0,0.395,0.765,0.009624,14,38,52
BLVRB_HUMAN,0.737,0.929,0.526,1.0,0.421,0.769,0.009624,14,38,52
AIF1_HUMAN,0.737,0.857,0.632,1.0,0.0,-0.673,0.009624,14,38,52
PLCB2_HUMAN,0.737,0.786,0.763,1.0,0.079,-0.614,0.009624,14,38,52
PCDGK_HUMAN,0.737,0.857,0.658,1.0,0.105,-0.763,0.009624,14,38,52
TRFL_HUMAN,0.735,0.714,0.737,1.0,0.211,-1.642,0.010216,14,38,52
HTRA1_HUMAN,0.735,0.786,0.711,1.0,0.474,-0.937,0.01021,14,38,52
CTL1_HUMAN,0.735,0.786,0.763,1.0,0.105,-0.809,0.010216,14,38,52
PAXX_HUMAN,0.735,0.929,0.526,1.0,0.289,-0.611,0.010216,14,38,52
B2MG_HUMAN,0.733,0.929,0.5,1.0,0.421,-0.696,0.010841,14,38,52
FMOD_HUMAN,0.733,0.714,0.711,1.0,0.289,-1.651,0.010841,14,38,52
QSOX1_HUMAN,0.731,1.0,0.421,1.0,0.421,-0.919,0.011499,14,38,52
IGHG3_HUMAN,0.731,0.643,0.816,1.0,0.132,0.549,0.011499,14,38,52
GAL3A_HUMAN,0.731,0.714,0.763,1.0,0.211,0.661,0.011499,14,38,52
IMDH2_HUMAN,0.731,0.857,0.605,1.0,0.105,0.723,0.011499,14,38,52
PPIB_HUMAN,0.731,0.786,0.711,1.0,0.0,-0.593,0.011497,14,38,52
GSTM2_HUMAN,0.731,0.643,0.816,1.0,0.132,1.036,0.011499,14,38,52
CETN2_HUMAN,0.731,0.714,0.763,1.0,0.079,-0.714,0.011499,14,38,52
CAD11_HUMAN,0.731,0.643,0.789,1.0,0.342,-0.741,0.011499,14,38,52
PCDH1_HUMAN,0.731,0.786,0.684,1.0,0.342,-1.022,0.011499,14,38,52
TOLIP_HUMAN,0.731,0.929,0.474,1.0,0.079,-0.564,0.011499,14,38,52
TSP4_HUMAN,0.73,0.857,0.605,1.0,0.184,0.82,0.011839,14,38,52
NHRF1_HUMAN,0.729,0.714,0.684,1.0,0.053,-0.925,0.012192,14,38,52
NPT2B_HUMAN,0.729,0.857,0.5,1.0,0.211,-1.655,0.012192,14,38,52
RAB25_HUMAN,0.729,0.714,0.737,1.0,0.263,-0.744,0.012192,14,38,52
RAB31_HUMAN,0.729,0.857,0.579,1.0,0.184,-0.522,0.012192,14,38,52
POSTN_HUMAN,0.729,0.714,0.763,1.0,0.211,1.094,0.012192,14,38,52
ADIPO_HUMAN,0.729,0.714,0.789,1.0,0.211,0.738,0.012192,14,38,52
IBP7_HUMAN,0.729,0.786,0.684,1.0,0.053,-1.182,0.012192,14,38,52
APOD_HUMAN,0.727,0.714,0.763,1.0,0.184,0.597,0.012922,14,38,52
DHE3_HUMAN,0.727,0.643,0.842,1.0,0.026,0.752,0.012922,14,38,52
TKT_HUMAN,0.727,0.643,0.816,1.0,0.132,-0.462,0.012922,14,38,52
CPZIP_HUMAN,0.727,0.857,0.658,1.0,0.0,-0.776,0.012922,14,38,52
NECT2_HUMAN,0.727,0.5,0.895,1.0,0.053,-0.542,0.012922,14,38,52
RIN3_HUMAN,0.727,0.786,0.684,1.0,0.132,-0.525,0.012922,14,38,52
C1QR1_HUMAN,0.727,0.929,0.579,1.0,0.211,-0.538,0.012922,14,38,52
SIAS_HUMAN,0.727,0.857,0.553,1.0,0.289,-0.668,0.012922,14,38,52
LIN7C_HUMAN,0.727,1.0,0.447,1.0,0.447,-0.601,0.012922,14,38,52
UMAD1_HUMAN,0.726,0.786,0.684,1.0,0.105,-0.706,0.013691,14,38,52
ARSA_HUMAN,0.726,0.643,0.842,1.0,0.026,-0.521,0.013691,14,38,52
AMBP_HUMAN,0.726,0.643,0.789,1.0,0.053,0.543,0.013691,14,38,52
YES_HUMAN,0.726,0.786,0.684,1.0,0.211,-0.738,0.013691,14,38,52
HLAC_HUMAN,0.726,0.714,0.763,1.0,0.079,-0.677,0.013691,14,38,52
GALT1_HUMAN,0.726,1.0,0.447,1.0,0.447,-0.805,0.013691,14,38,52
ITIH4_HUMAN,0.726,0.714,0.737,1.0,0.237,0.594,0.013691,14,38,52
PDCD4_HUMAN,0.726,0.786,0.684,1.0,0.263,-0.783,0.013691,14,38,52
OXR1_HUMAN,0.726,0.929,0.5,1.0,0.105,-0.695,0.013691,14,38,52
BAG1_HUMAN,0.726,0.929,0.5,1.0,0.316,-0.676,0.013691,14,38,52
RNT2_HUMAN,0.724,0.929,0.526,1.0,0.0,-0.866,0.0145,14,38,52
PIR_HUMAN,0.724,0.571,0.895,1.0,0.237,-0.714,0.0145,14,38,52
PROM1_HUMAN,0.724,0.5,0.868,1.0,0.289,-1.829,0.0145,14,38,52
FA5_HUMAN,0.724,0.643,0.763,1.0,0.342,0.748,0.0145,14,38,52
DHX32_HUMAN,0.724,0.929,0.526,1.0,0.237,-0.557,0.0145,14,38,52
IFT27_HUMAN,0.724,0.929,0.605,1.0,0.316,-0.698,0.0145,14,38,52
CNBP1_HUMAN,0.724,1.0,0.5,1.0,0.5,-0.897,0.0145,14,38,52
ITSN2_HUMAN,0.724,0.643,0.763,1.0,0.237,-0.522,0.0145,14,38,52
GSHR_HUMAN,0.722,0.714,0.684,1.0,0.289,-0.695,0.01535,14,38,52
LYN_HUMAN,0.722,0.571,0.842,1.0,0.237,-0.644,0.01535,14,38,52
MUC1_HUMAN,0.722,0.857,0.526,1.0,0.184,-1.747,0.01535,14,38,52
MYH10_HUMAN,0.722,0.643,0.763,1.0,0.158,1.047,0.01535,14,38,52
LTOR4_HUMAN,0.722,0.643,0.789,1.0,0.289,-0.464,0.01535,14,38,52
DOK3_HUMAN,0.722,0.786,0.658,1.0,0.053,-0.736,0.01535,14,38,52
S39AA_HUMAN,0.722,0.857,0.553,1.0,0.368,-0.546,0.01535,14,38,52
ASC_HUMAN,0.722,0.714,0.763,1.0,0.184,-0.826,0.01535,14,38,52
JAM1_HUMAN,0.722,0.786,0.658,1.0,0.184,-0.873,0.01535,14,38,52
RAB35_HUMAN,0.721,0.857,0.658,1.0,0.158,-0.602,0.015789,14,38,52
HV309_HUMAN,0.72,0.714,0.737,1.0,0.079,0.577,0.016244,14,38,52
FCG3A_HUMAN,0.72,0.643,0.816,1.0,0.263,-0.6,0.016244,14,38,52
SAA2_HUMAN,0.72,0.714,0.711,1.0,0.237,1.265,0.016244,14,38,52
IGK_HUMAN,0.72,0.857,0.658,1.0,0.026,0.426,0.016244,14,38,52
LBP_HUMAN,0.72,0.786,0.658,1.0,0.368,0.668,0.016244,14,38,52
ECH1_HUMAN,0.72,0.643,0.789,1.0,0.237,0.717,0.016244,14,38,52
PALLD_HUMAN,0.72,0.857,0.632,1.0,0.132,-0.919,0.016244,14,38,52
AVEN_HUMAN,0.72,0.857,0.632,1.0,0.079,-0.582,0.016244,14,38,52
CO9_HUMAN,0.718,0.714,0.684,1.0,0.237,0.596,0.017184,14,38,52
