,assembly,n_uniprots,composition,crystal_id
0,1,2,Hetero,3eg9
0,1,2,Hetero,5kyx
0,1,3,Hetero,5vnk
0,1,3,Hetero,5vne
0,1,3,Hetero,3egx
0,1,1,Homo,2yrc
0,1,3,Hetero,2nup
0,1,3,Hetero,5vno
0,1,3,Hetero,5vnh
0,1,3,Hetero,5vni
0,1,2,Hetero,5kyu
0,1,3,Hetero,5vnl
1,2,3,Hetero,5vnl
0,1,2,Hetero,5kyy
0,1,3,Hetero,5vng
0,1,3,Hetero,2nut
0,1,2,Hetero,3efo
0,1,3,Hetero,5vnm
0,1,2,Hetero,5kyw
0,1,1,Homo,2yrd
0,1,3,Hetero,3egd
0,1,1,Homo,5kyn
1,2,1,Homo,5kyn
0,1,3,Hetero,8hr0
0,1,3,Hetero,5vnf
0,1,3,Hetero,5vnn
0,1,3,Hetero,5vnj
