,assembly,n_uniprots,composition,crystal_id
0,1,1,Homo,4uzh
0,1,1,Homo,3uoh
1,2,1,Homo,3uoh
2,3,2,Homo,3uoh
0,1,1,Homo,2wtw
0,1,1,Homo,8c1f
0,1,1,Homo,3w16
0,1,1,Homo,4uyn
0,1,1,Homo,3k5u
0,1,2,Homo,6cpg
0,1,1,Homo,4deb
0,1,1,Homo,6cpf
0,1,1,Homo,3uol
1,2,1,Homo,3uol
2,3,2,Homo,3uol
0,1,1,Homo,4dea
0,1,1,Homo,8c1g
0,1,1,Homo,5dt4
0,1,1,Homo,2c6e
1,2,1,Homo,2c6e
0,1,1,Homo,3lau
0,1,1,Homo,4ded
0,1,1,Homo,2xng
0,1,1,Homo,6gra
0,1,4,Hetero,4c3p
0,1,2,Hetero,3e5a
0,1,1,Homo,6r4a
0,1,1,Homo,5os4
0,1,1,Homo,6vph
0,1,1,Homo,5osd
0,1,1,Homo,5dnr
0,1,2,Hetero,5l8k
0,1,1,Homo,4jbo
0,1,1,Homo,4jai
0,1,1,Homo,5ew9
0,1,1,Homo,6r4c
0,1,1,Homo,1muo
0,1,2,Hetero,5lxm
0,1,1,Homo,5obj
0,1,1,Homo,3m11
0,1,4,Homo,4j8n
1,2,1,Homo,4j8n
2,3,1,Homo,4j8n
3,4,1,Homo,4j8n
4,5,1,Homo,4j8n
0,1,1,Homo,5dos
0,1,1,Homo,8jmx
0,1,1,Homo,8c14
0,1,1,Homo,6z4y
0,1,1,Homo,3nrm
0,1,1,Homo,5os0
0,1,1,Homo,8jg8
0,1,1,Homo,5dn3
0,1,1,Homo,3p9j
0,1,1,Homo,3w18
1,2,1,Homo,3w18
0,1,1,Homo,2wqe
0,1,1,Homo,3o51
0,1,1,Homo,6xka
0,1,1,Homo,3up7
0,1,1,Homo,5os3
0,1,1,Homo,5orw
0,1,1,Homo,6vpj
0,1,1,Homo,3r21
0,1,1,Homo,4byj
0,1,2,Homo,6c83
0,1,1,Homo,8c1k
0,1,1,Homo,3unz
1,2,1,Homo,3unz
2,3,2,Homo,3unz
0,1,1,Homo,8c1d
0,1,1,Homo,6r4d
0,1,1,Homo,5dr2
0,1,1,Homo,2xne
0,1,1,Homo,4zts
0,1,1,Homo,5aaf
0,1,1,Homo,4dee
0,1,1,Homo,5zan
0,1,1,Homo,3r22
0,1,1,Homo,3h10
1,2,1,Homo,3h10
2,3,1,Homo,3h10
0,1,1,Homo,5dpv
0,1,1,Homo,3uo5
0,1,2,Hetero,5l8l
0,1,1,Homo,2bmc
1,2,1,Homo,2bmc
2,3,1,Homo,2bmc
3,4,1,Homo,2bmc
4,5,1,Homo,2bmc
5,6,1,Homo,2bmc
0,1,1,Homo,2w1d
0,1,1,Homo,6c2r
0,1,1,Homo,6c2t
0,1,1,Homo,3h0z
1,2,1,Homo,3h0z
2,3,1,Homo,3h0z
0,1,1,Homo,3uok
1,2,1,Homo,3uok
2,3,2,Homo,3uok
0,1,2,Hetero,7ztl
0,1,1,Homo,5oro
0,1,1,Homo,8of5
0,1,1,Homo,4uzd
1,2,1,Homo,4uzd
0,1,1,Homo,3efw
1,2,1,Homo,3efw
0,1,1,Homo,3up2
0,1,1,Homo,5dt0
0,1,1,Homo,2xru
0,1,2,Hetero,5g1x
0,1,1,Homo,7ayi
0,1,1,Homo,1ol6
0,1,3,Homo,8guw
0,1,2,Hetero,5odt
0,1,1,Homo,3uoj
1,2,1,Homo,3uoj
2,3,2,Homo,3uoj
0,1,1,Homo,4c3r
0,1,1,Homo,6hjj
0,1,1,Homo,5g15
0,1,1,Homo,2w1g
0,1,1,Homo,3o50
1,2,1,Homo,3o50
0,1,1,Homo,4o0w
0,1,1,Homo,3qbn
0,1,2,Hetero,3ha6
1,2,2,Hetero,3ha6
0,1,1,Homo,5orx
0,1,1,Homo,4ztq
0,1,2,Homo,6vpl
0,1,1,Homo,4jaj
0,1,1,Homo,8c15
0,1,1,Homo,6hjk
0,1,1,Homo,4prj
0,1,1,Homo,2x6d
0,1,1,Homo,2w1f
0,1,1,Homo,5orv
0,1,1,Homo,8c1e
0,1,1,Homo,2wtv
1,2,1,Homo,2wtv
2,3,1,Homo,2wtv
3,4,1,Homo,2wtv
0,1,1,Homo,8c1h
0,1,1,Homo,8ssp
0,1,2,Hetero,5l8j
0,1,1,Homo,2dwb
0,1,1,Homo,2j4z
1,2,1,Homo,2j4z
0,1,1,Homo,5aag
0,1,1,Homo,3vap
0,1,1,Homo,2c6d
0,1,1,Homo,5aad
0,1,1,Homo,5os2
0,1,1,Homo,6vpi
0,1,1,Homo,5os1
0,1,1,Homo,8jf4
0,1,1,Homo,5one
0,1,1,Homo,3w10
0,1,1,Homo,2w1c
0,1,1,Homo,7o2v
0,1,1,Homo,4zs0
0,1,1,Homo,5osf
0,1,1,Homo,3fdn
0,1,1,Homo,4b0g
0,1,1,Homo,6r49
0,1,1,Homo,3coh
1,2,1,Homo,3coh
0,1,1,Homo,5ose
0,1,2,Homo,6vpm
0,1,1,Homo,3uo6
1,2,1,Homo,3uo6
2,3,2,Homo,3uo6
0,1,1,Homo,5ory
0,1,1,Homo,6vpg
0,1,1,Homo,4ztr
0,1,1,Homo,5os6
0,1,1,Homo,2w1e
0,1,1,Homo,5obr
0,1,1,Homo,4dhf
1,2,1,Homo,4dhf
0,1,1,Homo,4o0s
0,1,1,Homo,6cpe
0,1,1,Homo,3uod
0,1,1,Homo,7fic
0,1,1,Homo,5dt3
0,1,1,Homo,5orp
0,1,1,Homo,2np8
0,1,1,Homo,1mq4
0,1,1,Homo,5orn
0,1,1,Homo,4j8m
0,1,1,Homo,5ors
0,1,1,Homo,6i2u
0,1,1,Homo,3w2c
1,2,1,Homo,3w2c
2,3,1,Homo,3w2c
3,4,1,Homo,3w2c
0,1,1,Homo,5dr9
0,1,1,Homo,8c1m
0,1,1,Homo,5orl
0,1,1,Homo,4byi
0,1,1,Homo,3uo4
0,1,1,Homo,3myg
0,1,1,Homo,2x6e
0,1,1,Homo,1ol7
0,1,1,Homo,2x81
0,1,1,Homo,2j50
1,2,1,Homo,2j50
0,1,1,Homo,5aae
0,1,1,Homo,8c1i
0,1,1,Homo,4jbp
0,1,1,Homo,5orr
0,1,1,Homo,4bn1
0,1,1,Homo,7ayh
0,1,2,Hetero,1ol5
0,1,1,Homo,4jbq
0,1,1,Homo,4ceg
0,1,1,Homo,5orz
0,1,1,Homo,5drd
0,1,1,Homo,6r4b
0,1,1,Homo,5ort
0,1,1,Homo,5os5
0,1,1,Homo,4o0u
0,1,1,Homo,5dr6
0,1,1,Homo,3h0y
1,2,1,Homo,3h0y
0,1,1,Homo,8sso
1,2,1,Homo,8sso
