Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
A0A024R1R8;Q9Y2S6	Q9Y2S6;A0A024R1R8	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B
A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8	A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8	A0A024R4E5_HUMAN;C9J5E5_HUMAN;C9JBS3_HUMAN;C9JEJ8_HUMAN;C9JES8_HUMAN;C9JHN6_HUMAN;C9JHS7_HUMAN;C9JHZ8_HUMAN;C9JIZ1_HUMAN;C9JK79_HUMAN;C9JT62_HUMAN;C9JZI8_HUMAN	HDLBP	High density lipoprotein binding protein
A0A024R6I7;A0A0G2JRN3	A0A024R6I7;A0A0G2JRN3	A0A024R6I7_HUMAN;A0A0G2JRN3_HUMAN	SERPINA1	Alpha-1-antitrypsin
A0A024RBG1;Q9NZJ9-2	A0A024RBG1;Q9NZJ9-2;Q9NZJ9-3	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B
A0A024RBG1;Q9NZJ9;Q9NZJ9-2	Q9NZJ9;A0A024RBG1;Q9NZJ9-2	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B
A0A075B6E5	Q8N8S7;A0A0U1RRM6;A0A075B6E5;A0A0U1RQP7;Q8N8S7-2;Q8N8S7-3	A0A075B6E5_HUMAN	ENAH	ENAH actin regulator (Fragment)
A0A075B6H7	A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7
A0A075B6H9	A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61
A0A075B6I1	A0A075B6I1	LV460_HUMAN	IGLV4-60	Immunoglobulin lambda variable 4-60
A0A075B6I4	A0A075B6I4	LVX54_HUMAN	IGLV10-54	Immunoglobulin lambda variable 10-54
A0A075B6I6	A0A075B6I6	LV150_HUMAN	IGLV1-50	Probable non-functional immunoglobulin lambda variable 1-50
A0A075B6I7;A0A087WSX0;A0A0G2JS06	A0A075B6I7;A0A087WSX0;A0A0G2JS06;A0A0G2JSC0	LV539_HUMAN;LV545_HUMAN;LV548_HUMAN	IGLV5-39;IGLV5-45;IGLV5-48	Probable non-functional immunoglobulin lambda variable 5-48
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46
A0A075B6I9;P04211	P04211;A0A075B6I9	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	Immunoglobulin lambda variable 7-46
A0A075B6J1	A0A075B6J1	LV537_HUMAN	IGLV5-37	Immunoglobulin lambda variable 5-37
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18
A0A075B6J9;P01699;P01700;P01703;P01706;P01709	CON_Q1RMN8;CON_ENSEMBL:ENSBTAP00000014147;P01699;P01700;P01706;P01709;P01703;A0A075B6J9	LV140_HUMAN;LV144_HUMAN;LV147_HUMAN;LV208_HUMAN;LV211_HUMAN;LV218_HUMAN	IGLV1-40;IGLV1-44;IGLV1-47;IGLV2-11;IGLV2-18;IGLV2-8	Immunoglobulin lambda variable 2-18
A0A075B6K0	A0A075B6K0	LV316_HUMAN	IGLV3-16	Immunoglobulin lambda variable 3-16
A0A075B6K0;A0A075B6K4	A0A075B6K0;A0A075B6K4	LV310_HUMAN;LV316_HUMAN	IGLV3-10;IGLV3-16	Immunoglobulin lambda variable 3-16
A0A075B6K0;P01717;P01718	P01717;P01718;A0A075B6K0	LV316_HUMAN;LV325_HUMAN;LV327_HUMAN	IGLV3-16;IGLV3-25;IGLV3-27	Immunoglobulin lambda variable 3-16
A0A075B6K2	A0A075B6K2	LV312_HUMAN	IGLV3-12	Immunoglobulin lambda variable 3-12
A0A075B6K2;A0A075B6K5;P80748	P80748;A0A075B6K2;A0A075B6K5	LV312_HUMAN;LV321_HUMAN;LV39_HUMAN	IGLV3-12;IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-12
A0A075B6K4	A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10
A0A075B6K4;P01715	P01715;A0A075B6K4	LV301_HUMAN;LV310_HUMAN	IGLV3-1;IGLV3-10	Immunoglobulin lambda variable 3-10
A0A075B6K4;P01717	P01717;A0A075B6K4	LV310_HUMAN;LV325_HUMAN	IGLV3-10;IGLV3-25	Immunoglobulin lambda variable 3-10
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9
A0A075B6K5;P80748	P80748;A0A075B6K5	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9
A0A075B6K6	A0A075B6K6	LV403_HUMAN	IGLV4-3	Immunoglobulin lambda variable 4-3
A0A075B6P5;A0A087WW87;P01614;P01615	P01615;P01614;A0A075B6P5;A0A087WW87	KV228_HUMAN;KV240_HUMAN;KVD28_HUMAN;KVD40_HUMAN	IGKV2-28;IGKV2-40;IGKV2D-28;IGKV2D-40	Immunoglobulin kappa variable 2-28
A0A075B6P5;P01615	P01615;A0A075B6P5	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28
A0A075B6Q5	A0A075B6Q5	HV364_HUMAN	IGHV3-64	Immunoglobulin heavy variable 3-64
A0A075B6Q5;A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V1;A0A0B4J1V6;A0A0B4J1X5;A0A0B4J1X8;A0A0C4DH32;A0A0C4DH36;A0A0C4DH42;A0A0J9YX35;P01762;P01763;P01764;P01766;P01767;P01772;P01780;P01782;P0DTE1	P01764;P01768;P01772;P01780;P01762;P01763;P01766;P01767;P01782;A0A075B6Q5;A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V1;A0A0B4J1V6;A0A0B4J1X5;A0A0B4J1X8;A0A0B4J1Y9;A0A0C4DH32;A0A0C4DH36;A0A0C4DH42;A0A0J9YX35;P0DP02;P0DP03;P0DP04;P0DTE1;A0A075B7F0;A0A075B7F1;A0A0B4J2B5;A0A0J9YY99;A0A4W8ZXM2;S4R3C0	HV307_HUMAN;HV309_HUMAN;HV311_HUMAN;HV313_HUMAN;HV315_HUMAN;HV320_HUMAN;HV321_HUMAN;HV323_HUMAN;HV333_HUMAN;HV338_HUMAN;HV343_HUMAN;HV348_HUMAN;HV349_HUMAN;HV353_HUMAN;HV364_HUMAN;HV366_HUMAN;HV373_HUMAN;HV374_HUMAN;HV383_HUMAN;HV64D_HUMAN	IGHV3-11;IGHV3-13;IGHV3-15;IGHV3-20;IGHV3-21;IGHV3-23;IGHV3-33;IGHV3-38;IGHV3-38-3;IGHV3-43;IGHV3-48;IGHV3-49;IGHV3-53;IGHV3-64;IGHV3-64D;IGHV3-66;IGHV3-7;IGHV3-73;IGHV3-74;IGHV3-9	Immunoglobulin heavy variable 3-64
A0A075B6Q5;A0A0B4J1X8;A0A0C4DH36;A0A0C4DH42;A0A0J9YX35;P01764;P01767;P01772;P0DTE1	P01764;P01768;P01772;P01767;A0A075B6Q5;A0A0B4J1X8;A0A0C4DH36;A0A0C4DH42;A0A0J9YX35;P0DP02;P0DP03;P0DP04;P0DTE1;A0A0J9YY99	HV323_HUMAN;HV333_HUMAN;HV338_HUMAN;HV343_HUMAN;HV353_HUMAN;HV364_HUMAN;HV366_HUMAN;HV383_HUMAN;HV64D_HUMAN	IGHV3-23;IGHV3-33;IGHV3-38;IGHV3-38-3;IGHV3-43;IGHV3-53;IGHV3-64;IGHV3-64D;IGHV3-66	Immunoglobulin heavy variable 3-64
A0A075B6R2	A0A075B6R2;A0A075B7B6;A0A087WW49	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P06331;P0DP07;P0DP08	P01824;P01825;P06331;A0A075B6R2;A0A087WSY4;A0A0C4DH41;P0DP06;P0DP07;P0DP08;A0A087WW49	HV404_HUMAN;HV431_HUMAN;HV432_HUMAN;HV434_HUMAN;HV439_HUMAN;HV461_HUMAN;HVD82_HUMAN	IGHV4-30-2;IGHV4-31;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-4;IGHV4-61	Immunoglobulin heavy variable 4-4
A0A075B6R9;A0A075B6S2;A0A0C4DH68;A2NJV5	A0A075B6R9;A0A075B6S2;A0A0A0MRZ7;A0A0C4DH68;A2NJV5	KV224_HUMAN;KV229_HUMAN;KVD24_HUMAN;KVD29_HUMAN	IGKV2-24;IGKV2-29;IGKV2D-24;IGKV2D-29	Probable non-functional immunoglobulin kappa variable 2D-24
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24
A0A075B6S2	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29
