,assembly,n_uniprots,composition,crystal_id
0,1,1.0,Homo,7xge
1,2,1.0,Homo,7xge
2,3,1.0,Homo,7xge
3,4,1.0,Homo,7xge
0,1,1.0,Homo,5mes
0,1,1.0,Homo,6ybk
0,1,1.0,Homo,4wmw
0,1,1.0,Homo,6ybl
0,1,1.0,Homo,6o6f
1,2,1.0,Homo,6o6f
0,1,1.0,Homo,6u63
1,2,1.0,Homo,6u63
2,3,1.0,Homo,6u63
3,4,1.0,Homo,6u63
0,1,1.0,Homo,5fdr
1,2,1.0,Homo,5fdr
2,3,1.0,Homo,5fdr
3,4,1.0,Homo,5fdr
0,1,1.0,Homo,4wmt
0,1,2.0,Hetero,2kbw
0,1,1.0,Homo,6o4u
1,2,1.0,Homo,6o4u
0,1,1.0,Homo,8g3w
0,1,10.0,Hetero,5c6h
1,2,2.0,Hetero,5c6h
2,3,2.0,Hetero,5c6h
3,4,2.0,Hetero,5c6h
4,5,2.0,Hetero,5c6h
5,6,2.0,Hetero,5c6h
6,7,2.0,Hetero,5c6h
7,8,2.0,Hetero,5c6h
8,9,2.0,Hetero,5c6h
9,10,2.0,Hetero,5c6h
10,11,2.0,Hetero,5c6h
11,12,2.0,Hetero,5c6h
12,13,2.0,Hetero,5c6h
0,1,1.0,Homo,6qzb
0,1,1.0,Homo,5lof
0,1,1.0,Homo,8ekx
0,1,1.0,Homo,4oq5
1,2,1.0,Homo,4oq5
2,3,1.0,Homo,4oq5
3,4,1.0,Homo,4oq5
4,5,1.0,Homo,4oq5
5,6,1.0,Homo,4oq5
0,1,1.0,Homo,4bpi
0,1,1.0,Homo,6qfc
0,1,1.0,Homo,6uab
0,1,1.0,Homo,8g3t
0,1,2.0,Hetero,8iqm
0,1,1.0,Homo,6mbd
1,2,1.0,Homo,6mbd
0,1,1.0,Homo,6zie
0,1,1.0,Homo,6qyn
0,1,1.0,Homo,6bw8
1,2,1.0,Homo,6bw8
2,3,1.0,Homo,6bw8
3,4,1.0,Homo,6bw8
0,1,1.0,Homo,6qb6
0,1,1.0,Homo,5fdo
1,2,1.0,Homo,5fdo
