,assembly,n_uniprots,composition,crystal_id
0,1,1,Homo,7luo
1,2,1,Homo,7luo
0,1,10,Hetero,7b5l
0,1,5,Hetero,7z8t
0,1,7,Hetero,8or4
0,1,8,Hetero,7b5m
0,1,4,Hetero,8byl
0,1,5,Hetero,8cdj
0,1,5,Hetero,7zbw
0,1,7,Hetero,7b5r
0,1,6,Hetero,8bya
0,1,2,Hetero,1fqv
1,2,2,Hetero,1fqv
2,3,2,Hetero,1fqv
3,4,2,Hetero,1fqv
4,5,2,Hetero,1fqv
5,6,2,Hetero,1fqv
6,7,2,Hetero,1fqv
7,8,2,Hetero,1fqv
0,1,4,Hetero,1fs2
0,1,5,Hetero,7z8v
0,1,5,Hetero,8cdk
0,1,3,Hetero,2ass
1,2,3,Hetero,2ass
2,3,3,Hetero,2ass
0,1,5,Hetero,1ldk
1,2,5,Hetero,1ldk
0,1,4,Hetero,2ast
1,2,4,Hetero,2ast
2,3,4,Hetero,2ast
0,1,4,Hetero,1fs1
0,1,6,Hetero,8or3
0,1,7,Hetero,8or0
0,1,5,Hetero,7zbz
