preferredName_A	preferredName_B	score
AURKB	BUB1B	0.999
AURKB	BIRC5	0.999
AURKB	INCENP	0.999
AURKB	CDCA8	0.999
AURKB	CDC20	0.998
AURKB	BUB1	0.997
AURKB	CDK1	0.997
AURKB	CENPA	0.997
AURKB	KIF2C	0.996
AURKB	CCNA2	0.991
AURKB	CCNB2	0.99
AURKB	KIF20A	0.99
AURKB	ESPL1	0.985
AURKB	NDC80	0.979
AURKB	CENPE	0.975
AURKB	H3-4	0.974
AURKB	RCC2	0.973
AURKB	TOP2A	0.97
AURKB	SGO1	0.969
AURKB	CDCA5	0.968
AURKB	RACGAP1	0.966
AURKB	KIF11	0.964
AURKB	CCNB1	0.962
AURKB	KIF23	0.961
AURKB	HASPIN	0.956
AURKB	UBE2C	0.955
AURKB	DLGAP5	0.95
AURKB	NUF2	0.95
AURKB	PTTG1	0.949
AURKB	BUB3	0.943
AURKB	KIF4A	0.942
AURKB	TPX2	0.94
AURKB	PLK1	0.939
AURKB	CDCA3	0.933
AURKB	OGA	0.93
AURKB	MAD2L1	0.93
AURKB	CUL3	0.927
AURKB	HJURP	0.927
AURKB	ZWINT	0.927
AURKB	CDC45	0.926
AURKB	AURKC	0.926
AURKB	CENPF	0.925
AURKB	H3C13	0.922
AURKB	AURKA	0.922
AURKB	H3-5	0.922
AURKB	MAPRE1	0.917
AURKB	KNL1	0.916
AURKB	PPP1CC	0.916
AURKB	NCAPG	0.913
AURKB	H3C12	0.909
