uniprot_id	gene_id
Q0VF96	CGNL1
Q9Y2K3	MYH15
H0YM96	MYO5C
F5H2J1	MYO3B
Q9UKX2	MYH2
Q7Z406	MYH14
B9A063	MYO7B
Q96A19	CCDC102A
P11055	MYH3
J3KRL0	MYO1D
P13535	MYH8
J3KRT2	CCDC102B
E9PCN3	MYO10
A0A8I5KZ38	MYH10
Q5JW46	MYH7B
C9JU63	MYO1A
A0A087WY49	MYO19
P12883	MYH7
B0I1T2	MYO1G
O00160	MYO1F
P82094	TMF1
B0I1S9	MYO1B
P13533	MYH6
Q9Y623	MYH4
Q9UKX3	MYH13
F5H6E2	MYO1C
P12882	MYH1
A0A494C024	MYH11
Q92614	MYO18A
Q5M9N0	CCDC158
A0A590UJG0	MYO7A
K7EL45	MYO15A
F8W883	MYO16
Q9ULV0	MYO5B
M0QXP0	MYO9B
A0A2R8Y5M1	MYO3A
Q8IUG5	MYO18B
S4R387	MYO1H
H0Y3R0	MYO5A
H0YNB0	MYO1E
A0A1Y0BRN3	MYO6
B2RTY4	MYO9A
A0A8I5KYI1	MYH9
