uniprot_id	gene_id
Q9H2W2	MIXL1
P58304	VSX2
A6NFQ7	DPRX
O15266	SHOX
O60902	SHOX2
A6NLW8	DUXA
P32242	OTX1
P15863	PAX1
P54821	PRRX1
P23760	PAX3
Q2L4T1	Pax9
A0A2R8Y683	NOBOX
Q2M1V0	ISX
P56915	GSC
E7ES87	PAX5
	
Q96QS3	ARX
Q9BQY4	RHOXF2
P0C7M4	RHOXF2B
Q9HB31	SEBOX
A0A1W2PPF3	DUXB
A6NJG6	ARGFX
Q03828	EVX2
Q99811	PRRX2
A0A1W2PP89	PAX6
A6NJT0	UNCX
G3V3F3	PAX8
C9J0A9	HESX1
O14813	PHOX2A
O15499	GSC2
C3U3A0	DUX4
Q96IS3	RAX2
V9HWA7	HEL23
P23759	PAX7
P49640	EVX1
Q8NHV9	RHOXF1
A0A0G2JQ02	PROP1
Q8N693	ESX1
Q9H161	ALX4
Q99453	PHOX2B
Q5XKR4	OTP
O43186	CRX
D6R9U1	PITX1
O95076	ALX3
O75364	PITX3
F1T0C9	OTX2
Q9Y2V3	RAX
A6NNA5	DRGX
D6RBG8	PITX2
J3KPG0	PAX4
