,assembly,n_uniprots,composition,crystal_id
0,1,1,Homo,6rqq
1,2,1,Homo,6rqq
0,1,2,Homo,8q18
1,2,2,Homo,8q18
0,1,2,Homo,7pom
1,2,2,Homo,7pom
0,1,1,Homo,6rqw
0,1,2,Homo,6g98
1,2,2,Homo,6g98
0,1,1,Homo,5fl4
1,2,1,Homo,5fl4
2,3,1,Homo,5fl4
3,4,1,Homo,5fl4
0,1,2,Homo,6fe2
1,2,2,Homo,6fe2
2,3,2,Homo,6fe2
0,1,1,Homo,6rqu
0,1,1,Homo,5fl6
1,2,1,Homo,5fl6
2,3,1,Homo,5fl6
3,4,1,Homo,5fl6
0,1,2,Homo,6tl6
1,2,2,Homo,6tl6
0,1,2,Homo,6qn6
1,2,2,Homo,6qn6
0,1,1,Homo,6rqn
0,1,2,Homo,6qn5
1,2,2,Homo,6qn5
0,1,1,Homo,5dvx
1,2,1,Homo,5dvx
0,1,2,Homo,6y74
0,1,1,Homo,5fl5
1,2,1,Homo,5fl5
2,3,1,Homo,5fl5
3,4,1,Homo,5fl5
0,1,2,Homo,6tl5
1,2,2,Homo,6tl5
0,1,2,Homo,6qn2
1,2,2,Homo,6qn2
0,1,2,Homo,8q1a
1,2,2,Homo,8q1a
0,1,2,Homo,8q19
1,2,2,Homo,8q19
0,1,4,Homo,8co0
0,1,2,Homo,6fe0
1,2,2,Homo,6fe0
0,1,2,Homo,6qut
1,2,2,Homo,6qut
0,1,2,Homo,6g9u
1,2,2,Homo,6g9u
0,1,1,Homo,2hkf
0,1,2,Homo,6fe1
1,2,2,Homo,6fe1
0,1,2,Homo,3iai
1,2,2,Homo,3iai
