uniprot_id	gene_id
Q969G2	LHX4
H0YM35	LHX2
E5RHS1	ZFHX4
F1T0D7	LHX3
C9JSX6	ZFHX2
P52943	CRIP2
Q6Q6R5	CRIP3
Q9H2C1	LHX5
P25791	LMO2
P61968	LMO4
O60663	LMX1B
P50238	CRIP1
P25800	LMO1
F5H3S4	LMO3
H0YMH3	LHX6
A0A8Q3WLD2	LHX8
P48742	LHX1
Q8TE12	LMX1A
A0A0C4DGY4	LHX9
Q15911	ZFHX3
Q6NSD3	CFHR3
Q92537	SUSD6
Q6UXD5	SEZ6L2
Q5TI72	SELE
A0A8Q3WL76	C7
A0A8I5KWH5	CSMD2
Q9BYH1	SEZ6L
P20851	C4BPB
P14222	PRF1
Q4LDE5	SVEP1
P78539	SRPX
Q96L08	SUSD3
P14151	SELL
A0A8Q3WKM6	C2
A0A1W2PPV2	CR2
E5RIG2	CSMD1
A0A8Q3WKN4	C8A
Q5SR44	CR1
A0A384NKM6	APOH
A6PVY5	C4BPA
P13671	C6
Q13219	PAPPA
K7ELJ4	SEZ6
Q2VPA4	CR1L
Q9BXP8	PAPPA2
Q5R349	SELP
P05160	F13B
A0A1W2PNZ6	SRPX2
A0A8Q3WLA6	CD46
A0A8V8TNF4	CFHR5
Q92496	CFHR4
Q03591	CFHR1
A0A8V8TPL2	CFHR2
A0A8Q3SI51	CD55
A0A8Q3SIA7	C8B
H7BXX0	CSMD3
A0A8Q3SI37	C9
A0A0G2JH38	CFB
A0A7P0T8V7	SUSD4
