preferredName_A	preferredName_B	score
AKT3	PHLPP2	0.996
AKT3	PHLPP1	0.993
AKT3	PIK3CA	0.984
AKT3	PIK3R1	0.977
AKT3	PIK3CG	0.973
AKT3	PIK3R3	0.973
AKT3	TSC2	0.968
AKT3	PIK3R2	0.967
AKT3	FOXO1	0.966
AKT3	MDM2	0.966
AKT3	FOXO3	0.966
AKT3	AKT2	0.965
AKT3	PIK3CB	0.964
AKT3	CDC37	0.963
AKT3	GSK3B	0.963
AKT3	AKT1S1	0.963
AKT3	CDKN1B	0.96
AKT3	MTOR	0.96
AKT3	RPTOR	0.959
AKT3	PRKCZ	0.959
AKT3	AKT1	0.958
AKT3	HSP90AB1	0.956
AKT3	HSP90AA1	0.954
AKT3	TP53	0.953
AKT3	FOXO4	0.953
AKT3	TSC1	0.952
AKT3	PIK3CD	0.95
AKT3	CDKN1A	0.95
AKT3	BCL2	0.947
AKT3	NKX3-1	0.943
AKT3	RPS6KB1	0.943
AKT3	ILK	0.942
AKT3	JUN	0.941
AKT3	PIK3R5	0.941
AKT3	RPS6KB2	0.939
AKT3	PDPK1	0.939
AKT3	GSK3A	0.937
AKT3	CASP9	0.937
AKT3	TCL1A	0.936
AKT3	TBC1D7	0.934
AKT3	BRCA1	0.934
AKT3	BCL2L1	0.931
AKT3	TBC1D4	0.93
AKT3	HSP90B1	0.93
AKT3	MAPK3	0.928
AKT3	MAPK1	0.927
AKT3	MAPK13	0.926
AKT3	MAPK14	0.925
AKT3	MAPK12	0.925
AKT3	MAPK11	0.925
