preferredName_A	preferredName_B	score
NCOA3	CREBBP	0.999
NCOA3	EP300	0.999
NCOA3	ESR1	0.999
NCOA3	CARM1	0.997
NCOA3	NCOA2	0.997
NCOA3	ESR2	0.997
NCOA3	AR	0.997
NCOA3	NCOA1	0.994
NCOA3	RXRA	0.988
NCOA3	PGR	0.986
NCOA3	KAT2B	0.986
NCOA3	SRC	0.975
NCOA3	MED1	0.974
NCOA3	FOS	0.97
NCOA3	MAPK8	0.965
NCOA3	ETV4	0.963
NCOA3	MAPK14	0.955
NCOA3	RARA	0.948
NCOA3	MAPK9	0.946
NCOA3	PSME3	0.941
NCOA3	JUN	0.938
NCOA3	THRB	0.938
NCOA3	HEATR6	0.936
NCOA3	SP1	0.931
NCOA3	RPS6KB1	0.931
NCOA3	NCOR1	0.928
NCOA3	PRMT1	0.924
NCOA3	PRKACA	0.919
NCOA3	PRKACG	0.919
NCOA3	PRKACB	0.919
NCOA3	NCOR2	0.917
NCOA3	ZNF217	0.917
NCOA3	RPS6KB2	0.913
NCOA3	MAPK12	0.913
NCOA3	MAPK13	0.911
NCOA3	PPARG	0.909
NCOA3	MAPK11	0.906
NCOA3	THRA	0.906
NCOA3	NR3C1	0.903
