,assembly,n_uniprots,composition,crystal_id
0,1,4,Hetero,4jgh
1,2,4,Hetero,4jgh
0,1,5,Hetero,6i5j
1,2,5,Hetero,6i5j
0,1,3,Hetero,7zlo
0,1,3,Hetero,7zln
0,1,4,Hetero,7m6t
0,1,3,Hetero,7zlr
0,1,3,Hetero,7zlm
1,2,3,Hetero,7zlm
2,3,3,Hetero,7zlm
3,4,3,Hetero,7zlm
0,1,3,Hetero,2c9w
0,1,3,Hetero,7zlp
0,1,3,Hetero,7zls
1,2,3,Hetero,7zls
2,3,3,Hetero,7zls
3,4,3,Hetero,7zls
0,1,5,Hetero,6i5n
1,2,5,Hetero,6i5n
0,1,3,Hetero,5bo4
1,2,3,Hetero,5bo4
2,3,3,Hetero,5bo4
3,4,3,Hetero,5bo4
4,5,3,Hetero,5bo4
5,6,3,Hetero,5bo4
0,1,4,Hetero,6i4x
